,data,0
185,1206861457952548611351571693878635784189347875486,39
186,1206983458769365346291474717102112919529494976081,1
187,1207600428523696381117437140126998048290321050841,16
188,1207738956064867597697508339667999343193990622473,33
189,1209707511510998135466064840838437121363687653317,5
190,1209854310294808749107220069343821375718297065088,326
191,1211826687426815259027670145618133773643301451624,7310
192,1216544762266208056110549559241773340959356472744,9691
193,1217719456101204499247950387110017633245869943381,38
194,1225907481206102289054103960371403600807653999508,26
195,1226276226546959350795468673038892962402417272742,3085
196,122765154123692897395158879580051073336273179222,41
197,1230828977141693507879733758769602169855787096961,31
198,1231140816733524932197949030046490505857730447080,70
199,1234855959034219051240362178390681558324454539282,1589
200,1235017176437854070217900401181851366752044446042,15
201,1238412961614696532761558773493534531027100665367,42
202,1239617809276159876052344290947316393070440570786,27
203,1239676999718721338530327208396618917012593043622,442
204,1241407881873426205513884893791127266385890761435,31
205,1242379397681153927311326687194419126411063422555,166
206,1242558595991388301247057213671898519781878827693,25
207,1242995325077345941627836985097905312889129827416,1
208,1244170499030795165652844295673508056480415518678,3
209,1245595521801747563237454476580886097724583204557,12
210,124587104690935575730158496084006710687750141976,356
211,1246874860342722341638893429241223358231634357085,24
212,1247784903810804379163087559747574688653906589100,121
213,1249370081045427049327965102622459389110637486501,5
214,1249440873190542696677284445973458086467700688386,4
215,1249665193321886219655532892010168606384458267898,60
216,1250382521030624562351480264464059215197498103895,207
217,1252924992674656206436558800246406658783113406875,3
218,125304284673912383368485361465977612075836230724,40
219,1253270631233887298535228497429425438643508162080,3
220,1253321467346822531137674573374242204702041508442,2344
221,1253963671384119159978926727242196960118140045221,6404
222,1257625403128103513110652990200789615560362725134,72
223,125891133936480131654311312029968803375851035630,18
224,1258944805546109659303135694195731654593512206898,1469
225,1258978421204455191228174496408316953900567202089,40
226,1259419771237913023874488416304568195548973087335,627
227,1260029715348065001841094449903995439275653021262,1987
228,1261425585535595253771221081958815840050577628176,4550
229,1262658060054290527931286368403485771488643151902,7
230,1264215433716667881094041354113247256705752291928,4
231,1265114575268608692166922570967139974742940978394,42
232,1265500295865936471928777007145529184180568315821,9662
233,1265907099415842872465779406740842390658708071701,157
234,126609779945042709247039782629594087482739747845,2649
235,1266536745146401285421585654387230041881396032263,1162
236,1266846080493884506690360011125866179644718478960,27
237,1267298038920213936154306226719501670169875006428,1713
238,1267903699086686297204148127089731638579628874178,242
239,1268896400046351859694239744506552506791474220542,8781
240,1270273976284450971730880015065397374634895066812,79
241,1270510573373258801367986629032158894581168265335,9824
242,1271803929329216673374251157861030434822830599366,824
243,1274082884655850081590366025871315129190382368097,9918
244,1274745997835547624198310385561706343813267920543,10
245,1275435761882557514926984049165848654110362808966,48
246,1277484874813401456400821776285123558723166739554,18
247,1277745012520135117336468025147106825995959021490,40
248,1279148896314114684906456526494425169791773065027,1684
249,1285098557934049818951107100136365242101327390789,25
250,1285958393226276650445316259505097648765611228971,864
251,1286568135563716416350968064648580252899870297539,10034
252,1287815772244662616590906267879529462075795976025,401
253,1288101097792785991302091908299306645310896316357,1689
254,1289322621709018902572337047052650979638604681091,20
255,1290804585355016269297677750012967577333247730179,8
256,1292623062134012409245185165444122306309875700978,207
257,1292928440751438276151741008673708530150216072931,110
258,1293056737594281486455156340548008173579758418824,12
259,1293541950107386537145559551907036053152761930319,94
260,1295074891901981318318705799188635829853199175557,3
261,1298596452026786707085045196417062671679872997766,1465
